Names R,Names Stata,Label
critic_comment_field,critic_comment_field,"critic_comment_field: T/F The answer to comment_field is critical: either mentions an issue, says that the survey is bad or biased."
treated_comment_field,treated_comment_field,treated_comment_field: T/F comment_field has been treated/recoded. N
comment_field_contains_long,comment_field_contains_long,comment_field_contains_long: T/F comment_field_english contains:  long
comment_field_contains_good,comment_field_contains_good,comment_field_contains_good: T/F comment_field_english contains: good|Good|excellent|enjoy|interesting
comment_field_contains_thanks,comment_field_contains_thank_559,comment_field_contains_thanks: T/F comment_field_english contains: thank|Thank
comment_field_contains_learned,comment_field_contains_learn_560,comment_field_contains_learned: T/F comment_field_english contains: learnt|learn
comment_field_contains_bias,comment_field_contains_bias,comment_field_contains_bias: T/F comment_field_english contains: bias
non_empty_comment_field,non_empty_comment_field,"non_empty_comment_field: The respondent left a feedback comment, i.e. comment_field is not NA."
origin_asia,origin_asia,origin_asia: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Asian
origin_africa,origin_africa,origin_africa: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - African
origin_danish,origin_danish,origin_danish: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Danish
origin_nordic,origin_nordic,origin_nordic: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Nordic
origin_central_europe,origin_central_europe,origin_central_europe: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Central European
origin_south_europe,origin_south_europe,origin_south_europe: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Southern European
origin_east_europe,origin_east_europe,origin_east_europe: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - East European
origin_middle_east,origin_middle_east,origin_middle_east: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Middle Eastern
origin_north_america,origin_north_america,origin_north_america: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - North American
origin_south_america,origin_south_america,origin_south_america: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - South American
origin_other_choice,origin_other_choice,origin_other_choice: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Other
race_white,race_white,race_white: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - White
race_black,race_black,race_black: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Black or African American
race_hispanic,race_hispanic,race_hispanic: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Hispanic
race_asian,race_asian,race_asian: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Asian
race_native,race_native,race_native: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - American Indian or Alaskan Native
race_hawaii,race_hawaii,race_hawaii: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Native Hawaiian or Pacific Islander
race_other_choice,race_other_choice,race_other_choice: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Other
race_pnr,race_pnr,race_pnr: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Prefer not to say
race_other,race_other,race_other: What race or ethnicity do you identify with? (Multiple answers are possible) - Other - Text
Nb_children,nb_children,Nb_children: How many children do you have?
liberal_conservative,liberal_conservative,
political_affiliation,political_affiliation,"political_affiliation: What do you consider to be your political affiliation, as of today?"
core_metropolitan,core_metropolitan,core_metropolitan: Live in a core metropolitan zip code. TRUE/FALSE
nb_children_ceiling_4,nb_children_ceiling_4,
race,race,race: White only/Hispanic/Black/Other. True proportions: .601/.185/.134/.08
vote_2020,vote_2020,
vote3,vote3,
state,state,
CO2_emission_heating,co2_emission_heating,"CO2_emission_heating: CO2 emissions (in t/year) from heating of the respondent estimated from their heating expenses and country average emission factors of electricity, heating oil and gas."
CO2_emission_gas,co2_emission_gas,CO2_emission_gas: CO2 emissions (in t/year) from gasoline of the respondent estimated from their gas expenses and emission factor of gasoline.
CO2_emission,co2_emission,"CO2_emission: CO2 emissions (in t/year) of the respondent estimated from their heating & gas expenses, flights and income."
origin_france,origin_france,origin_france: Quelles sont les nationalités de vos parents ? (Plusieurs réponses possibles) - France
origin_europe,origin_europe,origin_europe: Quelles sont les nationalités de vos parents ? (Plusieurs réponses possibles) - Europe (hors France)
origin_america,origin_america,origin_america: Quelles sont les nationalités de vos parents ? (Plusieurs réponses possibles) - Amérique / Océanie
gilets_jaunes_dedans,gilets_jaunes_dedans,gilets_jaunes_dedans: Que pensez-vous des gilets jaunes ? (Plusieurs réponses possibles) - J'en fais partie
gilets_jaunes_soutien,gilets_jaunes_soutien,gilets_jaunes_soutien: Que pensez-vous des gilets jaunes ? (Plusieurs réponses possibles) - Je les soutiens
gilets_jaunes_compris,gilets_jaunes_compris,gilets_jaunes_compris: Que pensez-vous des gilets jaunes ? (Plusieurs réponses possibles) - Je les comprends
gilets_jaunes_oppose,gilets_jaunes_oppose,gilets_jaunes_oppose: Que pensez-vous des gilets jaunes ? (Plusieurs réponses possibles) - Je m'y oppose
gilets_jaunes_NSP,gilets_jaunes_nsp,"gilets_jaunes_NSP: Que pensez-vous des gilets jaunes ? (Plusieurs réponses possibles) - NSP (Ne sais pas, ne se prononce pas)"
flight_quota_1000km,flight_quota_1000km,
flight_quota_1000km_global,flight_quota_1000km_global,
flight_quota_one_trip,flight_quota_one_trip,
flight_quota,flight_quota,
variant_flight_quota,variant_flight_quota,
gilets_jaunes,gilets_jaunes,
Gilets_jaunes,gilets_jaunes_2,
Gilets_jaunes_agg,gilets_jaunes_agg,
vote_main,vote_main,
origin_country,origin_country,origin_country: What race or ethnicity do you identify with? (Multiple answers are possible) - [country]
origin_continent,origin_continent,origin_continent: What race or ethnicity do you identify with? (Multiple answers are possible) - [continent] (except [country])
standard_prefer_ban,standard_prefer_ban,"standard_prefer_ban: Consider the following variants of the ban on combustion-engine cars: instead of a ban, purchases of new combustion-engine cars would be sanctioned by a fine, of either 10,000€ or 100,000€. 
Which policy do you prefer?
Please rank the policies from 1 (most preferred) to 3 (least preferred) (by clicking and dragging the items). - A strict ban"
standard_prefer_10k_fine,standard_prefer_10k_fine,"standard_prefer_10k_fine: Consider the following variants of the ban on combustion-engine cars: instead of a ban, purchases of new combustion-engine cars would be sanctioned by a fine, of either 10,000€ or 100,000€. 
Which policy do you prefer?
Please rank the policies from 1 (most preferred) to 3 (least preferred) (by clicking and dragging the items). - A 10,000€ fine"
standard_prefer_100k_fine,standard_prefer_100k_fine,"standard_prefer_100k_fine: Consider the following variants of the ban on combustion-engine cars: instead of a ban, purchases of new combustion-engine cars would be sanctioned by a fine, of either 10,000€ or 100,000€. 
Which policy do you prefer?
Please rank the policies from 1 (most preferred) to 3 (least preferred) (by clicking and dragging the items). - A 100,000€ fine"
standard_prefer_order_ban,standard_prefer_order_ban,"standard_prefer_order_ban: Consider the following variants of the ban on combustion-engine cars: instead of a ban, purchases of new combustion-engine cars would be sanctioned by a fine, of either 10,000€ or 100,000€. 
Which policy do you prefer?
Please rank the policies from 1 (most preferred) to 3 (least preferred) (by clicking and dragging the items). - Display Order - A strict ban"
standard_prefer_order_10k_fine,standard_prefer_order_10k_fi_618,"standard_prefer_order_10k_fine: Consider the following variants of the ban on combustion-engine cars: instead of a ban, purchases of new combustion-engine cars would be sanctioned by a fine, of either 10,000€ or 100,000€. 
Which policy do you prefer?
Please rank the policies from 1 (most preferred) to 3 (least preferred) (by clicking and dragging the items). - Display Order - A 10,000€ fine"
standard_prefer_order_100k_fine,standard_prefer_order_100k_f_619,"standard_prefer_order_100k_fine: Consider the following variants of the ban on combustion-engine cars: instead of a ban, purchases of new combustion-engine cars would be sanctioned by a fine, of either 10,000€ or 100,000€. 
Which policy do you prefer?
Please rank the policies from 1 (most preferred) to 3 (least preferred) (by clicking and dragging the items). - Display Order - A 100,000€ fine"
standard_10k_fine,standard_10k_fine,"standard_10k_fine: Imagine that, instead of a ban, purchases of new combustion-engine cars would be sanctioned by a fine of 10,000€.
Would you support or oppose such policy?"
standard_100k_fine,standard_100k_fine,"standard_100k_fine: Imagine that, instead of a ban, purchases of new combustion-engine cars would be sanctioned by a fine of 100,000€.
Would you support or oppose such policy?"
tax_transfers_progressive_fair,tax_transfers_progressive_fa_622,
tax_transfers_progressive_support,tax_transfers_progressive_su_623,
policy_ban_coal,policy_ban_coal,
policy_order_ban_coal,policy_order_ban_coal,policy_order_ban_coal: Do you support or oppose the following climate policies? - Display Order - A ban on coal power in 2030
tax_reduction_EEG_Umlage,tax_reduction_eeg_umlage,"tax_reduction_EEG_Umlage: Governments can use the revenues from carbon taxes in different ways. Would you support or oppose introducing a carbon tax that would raise gasoline prices by 40 cents per gallon, if the government used this revenue to finance... - A reduction in the EEG-Umlage"
tax_more_commuter_allowance,tax_more_commuter_allowance,"tax_more_commuter_allowance: Governments can use the revenues from carbon taxes in different ways. Would you support or oppose introducing a carbon tax that would raise gasoline prices by 40 cents per gallon, if the government used this revenue to finance... - An increase in commuter tax allowance"
tax_order_reduction_EEG_Umlage,tax_order_reduction_eeg_umla_628,"tax_order_reduction_EEG_Umlage: Governments can use the revenues from carbon taxes in different ways. Would you support or oppose introducing a carbon tax that would raise gasoline prices by 40 cents per gallon, if the government used this revenue to finance... - Display Order - A reduction in the EEG-Umlage"
tax_order_more_commuter_allowance,tax_order_more_commuter_allo_629,"tax_order_more_commuter_allowance: Governments can use the revenues from carbon taxes in different ways. Would you support or oppose introducing a carbon tax that would raise gasoline prices by 40 cents per gallon, if the government used this revenue to finance... - Display Order - An increase in commuter tax allowance"
global_quota,global_quota,"global_quota: All countries have signed the Paris agreement that aims to contain global warming ""well below +2 °C"". To limit global warming to this level, there is a maximum amount of greenhouse gases we can emit globally, called the carbon budget. Each country could aim to emit less than a share of the carbon budget. To respect the global carbon budget, countries that emit more than their national share would pay a fee to countries that emit less than their share.
Do you support such a policy?"
burden_share_population,burden_share_population,"burden_share_population: Suppose the above policy is in place. How should the carbon budget be divided among countries? - The emission share of a country should be proportional to its population, so that each human has an equal right to emit."
burden_share_emissions,burden_share_emissions,"burden_share_emissions: Suppose the above policy is in place. How should the carbon budget be divided among countries? - The emission share of a country should be proportional to its current emissions, so that those who already emit more have more rights to emit."
burden_share_historical,burden_share_historical,"burden_share_historical: Suppose the above policy is in place. How should the carbon budget be divided among countries? - Countries that have emitted more over the past decades (from 1990 onwards) should receive a lower emission share, because they have already used some of their fair share."
burden_share_damages,burden_share_damages,"burden_share_damages: Suppose the above policy is in place. How should the carbon budget be divided among countries? - Countries that will be hurt more by climate change should receive a higher emission share, to compensate them for the damages."
positive_treatment,positive_treatment,positive_treatment: positive_treatment
